document_id,aggregate_type,aggregate_id,property_id,license_id,filename,media_type,size_bytes,sha256,uploaded_by
b0cdef92-4e59-4daf-acf5-139f5afef3a8,license,d82be31e-b59a-490d-86e2-a3c0a630036a,ab07c9dd-b4d3-43e7-9201-53b02e93184a,d82be31e-b59a-490d-86e2-a3c0a630036a,pmc-occ-2026-000001_application_note_01.txt,text/plain,128,ca11e16f32065d080e1770e69acd7413380fd71de090981f77384f97ed176993,pmc-lic-09
27e9e444-e1a3-4095-ab73-8f1beb690598,license,8029fb40-16fb-4438-9f3c-72ea8a947c82,f493204c-43af-450a-b7d2-2351664ff9f1,8029fb40-16fb-4438-9f3c-72ea8a947c82,bmc-fir-2026-000002_application_note_01.txt,text/plain,130,a3d6d69d5725d27233d21972a1af51f6375d8ca62fce802b31158c98ba93731f,bmc-lic-23
d7caf61a-ddad-4a4b-9e8e-c124925ea34b,license,8029fb40-16fb-4438-9f3c-72ea8a947c82,f493204c-43af-450a-b7d2-2351664ff9f1,8029fb40-16fb-4438-9f3c-72ea8a947c82,bmc-fir-2026-000002_ownership_note_02.txt,text/plain,128,af2ff8f0cd01b6e9aa6e629c2c6931b5f73ff5d5cac82fb5c148bdddd053bb1a,bmc-lic-23
afb75ed6-0c34-4f8a-807b-35edea8c5b26,license,8029fb40-16fb-4438-9f3c-72ea8a947c82,f493204c-43af-450a-b7d2-2351664ff9f1,8029fb40-16fb-4438-9f3c-72ea8a947c82,bmc-fir-2026-000002_site_photo_note_03.txt,text/plain,129,4ef072f57a584087dbb810ddfd7a5f6548b3d583b7f75b2abfc876a944c4d85a,bmc-lic-23
5d1f9557-e0b2-4f55-95d9-4743a3982602,license,34804dcc-8c5a-4c91-bc8f-ae9164f7b940,bdc51769-82d0-4971-9e3c-4a218b2068a6,34804dcc-8c5a-4c91-bc8f-ae9164f7b940,bmc-hlt-2026-000003_application_note_01.txt,text/plain,126,c5d1ebdd327418b21ed3bdecc1078fc63f31e67c7333df4b691ee468b25c036d,bmc-lic-07
2984f846-74fe-411f-9ff1-531ab8c18bc7,license,4924c3f9-89ef-4139-9477-5af2738e5948,1bcb5087-070b-477e-a177-1d78ebe610e0,4924c3f9-89ef-4139-9477-5af2738e5948,pmc-occ-2026-000004_application_note_01.txt,text/plain,131,9484b8a64a860c6ab4f41a26e1b88dc7302a0a29f7fd07703cafe28db3371238,pmc-lic-02
66597e07-07f2-4ab9-813e-cddd3d394bc4,license,4924c3f9-89ef-4139-9477-5af2738e5948,1bcb5087-070b-477e-a177-1d78ebe610e0,4924c3f9-89ef-4139-9477-5af2738e5948,pmc-occ-2026-000004_ownership_note_02.txt,text/plain,129,4c1acbbeac774ebdd590f6b7531c5e690423c7e6c38b20dcdfc07e6d5adba3d4,pmc-lic-02
457a9da4-29dc-4351-b2e5-ff38517e0f07,license,4924c3f9-89ef-4139-9477-5af2738e5948,1bcb5087-070b-477e-a177-1d78ebe610e0,4924c3f9-89ef-4139-9477-5af2738e5948,pmc-occ-2026-000004_site_photo_note_03.txt,text/plain,130,72d3be26c5e2e763954fe8202a57138d89bd910ea4b88121a10ed9bed0cf6714,pmc-lic-02
e039367e-7983-4e90-82be-2734e526ce17,license,4924c3f9-89ef-4139-9477-5af2738e5948,1bcb5087-070b-477e-a177-1d78ebe610e0,4924c3f9-89ef-4139-9477-5af2738e5948,pmc-occ-2026-000004_deficiency_memo_04.txt,text/plain,130,c335e93e49b93c42d499bac0c3856621a2fae14d8f3cddbe8e6ffab74ff90e87,pmc-lic-02
9d481720-7b7f-4e7d-b49b-d19bac169d39,license,dafabab4-63a7-4003-9e30-81879a13877f,d006fef2-31f8-4b4e-b4a6-d5c47a0e742c,dafabab4-63a7-4003-9e30-81879a13877f,bmc-sbd-2026-000005_application_note_01.txt,text/plain,125,2b30f5b2f9d32622fdf043eb7fe31c088b225ba502229ce21fef9d671e657f5a,bmc-lic-22
bdc18b03-05a7-47ee-8fb2-9db30c4e2e8f,license,dafabab4-63a7-4003-9e30-81879a13877f,d006fef2-31f8-4b4e-b4a6-d5c47a0e742c,dafabab4-63a7-4003-9e30-81879a13877f,bmc-sbd-2026-000005_ownership_note_02.txt,text/plain,123,f8ac3c4cebdc24cd6090a7c49940fa06cfe54729c31e1761356a7d04f1ddffaf,bmc-lic-22
07e6b29b-8770-4724-a16d-11380a52d227,license,d11f2c82-66f3-4b46-8aee-2075a992fdd6,4b4f230e-9c3d-4a15-be3c-b43c80bd60e2,d11f2c82-66f3-4b46-8aee-2075a992fdd6,bmc-hlt-2026-000006_application_note_01.txt,text/plain,128,c772f22e1caaf680c9989b9b0e8b4fd440e072c667567f660bc8d7bb16f54fda,bmc-lic-07
d6711026-b32a-47ca-936e-01f5acdba153,license,d11f2c82-66f3-4b46-8aee-2075a992fdd6,4b4f230e-9c3d-4a15-be3c-b43c80bd60e2,d11f2c82-66f3-4b46-8aee-2075a992fdd6,bmc-hlt-2026-000006_ownership_note_02.txt,text/plain,126,a8ea936e4dba602d3d104c42d47b6a46fb33c254980475a6f5ad565b8fe5531f,bmc-lic-07
b9c34425-fee3-4d47-ae3f-f692524daee9,license,e5c6b922-9fbf-4b0e-a2fa-a56bab041f4e,3e151e46-5ad9-455f-81b4-a74181ed5407,e5c6b922-9fbf-4b0e-a2fa-a56bab041f4e,pmc-bpa-2026-000007_application_note_01.txt,text/plain,141,576d1870635acbc84ccb09ada5e1b2682914237e4f5a26e2164157f1c08efa53,pmc-lic-12
